Isolate,Found,ant(6)-Ia,aph(3')-IIIa,blaOXA-184,blaOXA-605,blaOXA-632,blaOXA-659,catA13,cfr(C),sat4,tet(O)
10CS0074,1,.,.,.,&#10004;,.,.,.,.,.,.
10CS0083,2,.,.,&#10004;,.,.,.,.,.,.,&#10004;
10CS0075,7,?,&#10004;,.,.,&#10004;,?,.,?,&#10004;,&#10004;
10CS0078,3,.,&#10004;,.,.,.,.,.,.,?,&#10004;
10CS0079,7,?,&#10004;,.,.,&#10004;,?,.,?,&#10004;,&#10004;
10CS0082,2,.,.,&#10004;,.,.,.,.,.,.,&#10004;
10CS0084,2,.,.,.,&#10004;,.,.,&#10004;,.,.,.
10CS0052,2,.,.,&#10004;,.,.,.,.,.,.,&#10004;
10CS0076,2,.,.,.,&#10004;,.,.,&#10004;,.,.,.
10CS0073,1,.,.,.,&#10004;,.,.,.,.,.,.
10CS0048,3,.,.,.,&#10004;,.,?,.,.,.,&#10004;
10CS0080,1,.,.,.,&#10004;,.,.,.,.,.,.
10CS0077,1,.,.,.,&#10004;,.,.,.,.,.,.
10CS0081,2,.,.,&#10004;,.,.,.,.,.,.,&#10004;
34471_OXC9939,2,.,.,&#10004;,.,.,.,.,.,.,&#10004;
34474_OXC9942,1,.,.,.,&#10004;,.,.,.,.,.,.
34476_OXC9944,2,.,.,.,&#10004;,.,?,.,.,.,.
34470_OXC9938,1,.,.,.,&#10004;,.,.,.,.,.,.
ref_strain,1,.,.,.,&#10004;,.,.,.,.,.,.
