Isolate,Found,Cj1135,Cj1136,Cj1137c,Cj1138,Cj1416c,Cj1417c,Cj1419c,Cj1420c,Cj1421c,Cj1422c,Cj1426c,Cj1427c,Cj1432c,Cj1434c,Cj1435c,Cj1436c,Cj1437c,Cj1438c,Cj1440c,Cjp54,acfB,cadF,cdtA,cdtB,cdtC,cheA,cheV,cheV3,cheW,cheY,ciaB,ciaC,cstIII,cysC,eptC,fcl,flaA,flaB,flaC,flaD,flaG,flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgM,flgP,flgQ,flgR,flgS,flhA,flhB,flhF,flhG,fliA,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliL,fliM,fliN,fliP,fliQ,fliR,fliS,fliW,fliY,glf,gmhA,gmhA2,gmhB,hddA,hddC,hldD,hldE,htrB,jlpA,kfiD,kpsC,kpsD,kpsE,kpsF,kpsM,kpsS,kpsT,maf4,motA,motB,neuA1,neuB1,neuC1,pebA,pflA,porA,pseA,pseB,pseC,pseD/maf2,pseE/maf5,pseF,pseG,pseH,pseI,ptmA,ptmB,rfbC,rpoN,tcpI,tlpA,tlpB,tlpC,virB10,virB11,virB4,virB8,virB9,virD4,waaC,waaF,waaV,wlaN
10CS0074,122,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,&#10004;,&#10004;,&#10004;,&#10004;,?,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,.,.,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,?,.,.,.,.,.,.,.,.,&#10004;,&#10004;,&#10004;,&#10004;
10CS0083,104,.,.,.,.,&#10004;,&#10004;,?,?,?,.,.,&#10004;,.,.,.,.,.,.,.,.,?,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,&#10004;,&#10004;,&#10004;,&#10004;,.,&#10004;,&#10004;,.,?,?,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,.,&#10004;,&#10004;,&#10004;,?,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,.,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,&#10004;,&#10004;,.,?,?,&#10004;,&#10004;,&#10004;,&#10004;,?,?,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,.,.,.,.,.,.,.,.,.,&#10004;,&#10004;,&#10004;,?
10CS0075,96,&#10004;,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,?,.,.,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,&#10004;,&#10004;,&#10004;,&#10004;,.,.,&#10004;,.,?,?,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,.,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,.,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,&#10004;,&#10004;,.,.,.,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,?,.,&#10004;,?,?,.,.,.,.,.,.,.,.,&#10004;,&#10004;,&#10004;,?
10CS0078,111,&#10004;,&#10004;,.,?,&#10004;,&#10004;,&#10004;,&#10004;,?,.,.,&#10004;,.,.,.,.,.,.,?,&#10004;,.,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,&#10004;,&#10004;,&#10004;,&#10004;,.,&#10004;,&#10004;,.,?,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,.,&#10004;,&#10004;,&#10004;,&#10004;,?,&#10004;,&#10004;,&#10004;,&#10004;,.,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,.,&#10004;,&#10004;,?,?,?,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,.,.,&#10004;,&#10004;,&#10004;,&#10004;,.,.,&#10004;,&#10004;,?,.,?,.,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?
10CS0079,97,&#10004;,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,?,.,.,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,&#10004;,&#10004;,&#10004;,&#10004;,.,.,&#10004;,.,?,?,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,.,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,.,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,&#10004;,&#10004;,.,.,.,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,.,&#10004;,?,?,.,?,.,.,.,.,.,.,&#10004;,&#10004;,&#10004;,?
10CS0082,101,.,.,.,.,&#10004;,&#10004;,&#10004;,&#10004;,?,.,.,.,.,.,.,.,.,.,.,.,?,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,&#10004;,&#10004;,&#10004;,&#10004;,.,&#10004;,&#10004;,.,?,?,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,.,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,.,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,&#10004;,&#10004;,.,.,.,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,.,.,.,.,.,.,.,.,.,&#10004;,&#10004;,&#10004;,?
10CS0084,93,&#10004;,.,.,?,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,&#10004;,&#10004;,&#10004;,&#10004;,.,.,&#10004;,.,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,.,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,.,?,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,.,&#10004;,&#10004;,.,.,.,&#10004;,&#10004;,&#10004;,.,&#10004;,&#10004;,.,.,&#10004;,&#10004;,?,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,.,?,.,.,.,.,.,.,.,&#10004;,&#10004;,&#10004;,?
10CS0052,103,?,.,.,.,&#10004;,&#10004;,&#10004;,&#10004;,?,.,.,.,.,.,.,.,.,.,.,.,?,&#10004;,&#10004;,?,&#10004;,&#10004;,&#10004;,?,&#10004;,&#10004;,&#10004;,&#10004;,.,&#10004;,&#10004;,.,?,?,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,.,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,.,?,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,&#10004;,&#10004;,.,.,.,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,?,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,.,&#10004;,?,?,.,?,.,.,.,.,.,.,&#10004;,&#10004;,&#10004;,?
10CS0076,122,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,.,.,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,?,.,.,.,.,.,.,.,.,&#10004;,&#10004;,&#10004;,&#10004;
10CS0073,96,&#10004;,.,.,?,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,&#10004;,&#10004;,&#10004;,&#10004;,.,.,&#10004;,.,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,.,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,.,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,.,.,.,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,?,?,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,&#10004;,.,&#10004;,?,.,?,.,.,.,.,.,.,.,&#10004;,&#10004;,&#10004;,?
